Date,AFC.L,CWR.L,GOOD.L,GRP.L,ITM.L
2018-01-01,11.0,148.0,155.18499755859375,0.764599084854126,36.702701568603516
2018-02-01,10.875,142.75,126.37818908691406,0.7556668519973755,34.362098693847656
2018-03-01,11.074999809265137,112.0,105.00540924072266,0.6802788376808167,31.62310028076172
2018-04-01,10.100000381469727,132.5,124.51969909667969,0.7730973958969116,33.66490173339844
2018-05-01,9.600000381469727,141.0,124.51969909667969,0.7602735161781311,34.56129837036133
2018-06-01,9.109999656677246,153.25,136.20358276367188,0.7085224986076355,29.780399322509766
2018-07-01,8.800000190734863,159.0,106.4090347290039,0.7620522379875183,32.868099212646484
2018-08-01,7.900000095367432,190.0,129.58255004882812,0.7938404679298401,28.38599967956543
2018-09-01,6.869999885559082,181.9499969482422,103.57146453857422,0.7299506068229675,26.393999099731445
2018-10-01,5.949999809265137,160.0,93.96674346923828,0.7957534193992615,25.398000717163086
2018-11-01,5.389999866485596,163.0,99.21361541748047,0.7976663112640381,26.493600845336914
2018-12-01,4.324999809265137,164.0,89.19686126708984,0.8132211565971375,23.306400299072266
2019-01-01,5.590000152587891,155.5,100.16759490966797,0.8190436363220215,19.720800399780273
2019-02-01,4.989999771118164,150.0,93.01277923583984,0.8384523987770081,22.908000946044922
2019-03-01,4.599999904632568,150.0,95.397705078125,0.8021045923233032,19.720800399780273
2019-04-01,3.0899999141693115,181.75,136.8957061767578,0.8836350440979004,25.398000717163086
2019-05-01,6.099999904632568,186.0,144.05055236816406,0.8777311444282532,34.162899017333984
2019-06-01,5.099999904632568,167.0,133.850341796875,0.815270721912384,33.56529998779297
2019-07-01,4.65500020980835,191.0,155.67373657226562,0.8775530457496643,36.90190124511719
2019-08-01,5.105000019073486,175.0,153.24891662597656,0.9294081926345825,36.055301666259766
2019-09-01,4.454999923706055,213.0,151.30906677246094,0.9221010804176331,42.92770004272461
2019-10-01,4.900000095367432,207.0,148.0120086669922,0.9827656745910645,59.969398498535156
2019-11-01,18.600000381469727,213.0,152.4084014892578,0.9463669061660767,67.96530151367188
2019-12-01,16.350000381469727,262.0,206.1421356201172,0.9784840941429138,71.0636978149414
2020-01-01,19.200000762939453,422.0,226.65866088867188,0.9743899703025818,104.44670104980469
2020-02-01,20.899999618530273,387.0,178.29827880859375,0.9743899703025818,99.54920196533203
2020-03-01,15.0,335.0,145.56954956054688,0.965979278087616,118.43949890136719
2020-04-01,14.850000381469727,423.5,168.5285186767578,0.934885561466217,156.5200958251953
2020-05-01,25.5,492.5,172.9249267578125,0.9784167408943176,283.35540771484375
2020-06-01,19.860000610351562,541.0,178.78680419921875,1.004319429397583,263.8653869628906
2020-07-01,20.200000762939453,442.5,188.0680694580078,1.0379366874694824,240.87710571289062
2020-08-01,19.5,559.0,181.7176971435547,1.0379366874694824,276.8587951660156
2020-09-01,17.600000381469727,557.0,161.20118713378906,1.0253270864486694,260.3671875
2020-10-01,17.280000686645508,702.0,160.22422790527344,0.9955459833145142,231.0
2020-11-01,37.70000076293945,859.0,179.7637481689453,0.9700189828872681,376.0
2020-12-01,79.4000015258789,1320.0,173.90188598632812,1.0126930475234985,516.0
2021-01-01,61.0,1326.0,175.85585021972656,1.0342395305633545,550.0
2021-02-01,53.900001525878906,1248.0,190.510498046875,0.9997649788856506,513.0
2021-03-01,64.30000305175781,1256.0,215.91189575195312,1.0034557580947876,473.5
2021-04-01,67.5,1336.0,275.01904296875,1.0339957475662231,520.5
2021-05-01,63.5,1087.0,275.5074768066406,0.9816418290138245,393.3999938964844
2021-06-01,63.5,1057.0,279.4153747558594,1.0388673543930054,455.3999938964844
2021-07-01,54.5,1009.0,316.5404968261719,1.0521297454833984,410.20001220703125
2021-08-01,59.400001525878906,1179.0,317.0290222167969,1.0523210763931274,485.3999938964844
2021-09-01,52.0,1076.0,346.82684326171875,1.0366482734680176,430.79998779296875
2021-10-01,60.29999923706055,1245.0,337.0570373535156,1.0254533290863037,489.0
2021-11-01,48.79999923706055,1108.0,264.4677429199219,0.9851517081260681,458.0
2021-12-01,49.29999923706055,996.5,237.53121948242188,1.0122166872024536,394.0
2022-01-01,34.75,608.5,240.4697265625,1.0507991313934326,270.3999938964844
2022-02-01,36.599998474121094,712.0,254.67262268066406,1.0666857957839966,332.20001220703125
2022-03-01,40.70000076293945,738.0,259.5701904296875,1.043774127960205,354.79998779296875
2022-04-01,33.900001525878906,745.0,239.97998046875,1.0851572751998901,331.3999938964844
2022-05-01,27.600000381469727,670.0,247.3262939453125,1.0575683116912842,294.70001220703125
2022-06-01,20.600000381469727,548.0,259.5701904296875,1.1045302152633667,172.8000030517578
2022-07-01,27.0,604.4000244140625,241.60574340820312,1.1231720447540283,213.0
2022-08-01,27.5,649.2000122070312,251.46717834472656,1.1511350870132446,197.60000610351562
2022-09-01,19.18000030517578,369.5,229.27891540527344,1.0952709913253784,104.5999984741211
2022-10-01,21.239999771118164,327.79998779296875,212.73684692382812,1.0763869285583496,82.66000366210938
2022-11-01,21.239999771118164,384.70001220703125,184.0421142578125,1.1047128438949585,103.1500015258789
2022-12-01,18.5,350.70001220703125,178.1052703857422,1.0909805297851562,91.63999938964844
