Quarter,Onshore wind,Offshore wind,Shoreline wave,Solar photovoltaics,Hydro,Bioenergy and waste,All renewables,TOTAL ELECTRICITY GENERATED
"2010 
1st quarter",1.62,0.62,0,0.01,0.78,2.75,5.78,108183
"2010 
2nd quarter",1.39,0.53,0,0.01,0.76,3.38,6.07,86507
"2010 
3rd quarter",2.33,1,0,0.02,1.03,3.77,8.15,82878
"2010 
4th quarter",2.24,1.06,0,0.01,1.18,3.09,7.58,104501
"2011 
1st quarter",2.32,0.97,0,0.01,1.26,3.25,7.81,103370
"2011 
2nd quarter",2.93,1.33,0,0.08,1.34,3.71,9.39,85066
"2011 
3rd quarter",2.3,1.32,0,0.13,1.48,4,9.23,83420
"2011 
4th quarter",4.17,2,0,0.06,2.1,3.59,11.92,96126
"2012 
1st quarter",3.57,1.51,0,0.18,1.83,3.92,11.01,99899
"2012 
2nd quarter",2.63,1.93,0,0.51,0.93,3.53,9.53,85328
"2012 
3rd quarter",3.25,2.1,0,0.68,1.29,4.36,11.68,81440
"2012 
4th quarter",3.9,2.82,0,0.19,1.68,4.38,12.97,97206
"2013 
1st quarter",3.92,2.77,0,0.14,1.24,4.08,12.15,101370
"2013 
2nd quarter",4.63,3.12,0,0.84,1.16,6.04,15.79,83733
"2013 
3rd quarter",3.48,2.47,0,1.08,0.93,5.62,13.58,79501
"2013 
4th quarter",6.73,4.36,0,0.33,1.85,4.75,18.02,93680
"2014 
1st quarter",7.13,4.69,0,0.5,2.4,4.89,19.61,93478
"2014 
2nd quarter",3.86,2.66,0,1.87,1.42,6.93,16.74,78664
"2014 
3rd quarter",3.79,2.95,0,2.05,1.02,7.77,17.58,76122
"2014 
4th quarter",6.64,5.22,0,0.61,1.95,7.45,21.87,89832
"2015 
1st quarter",7.49,4.89,0,0.98,2.1,7.3,22.76,95549
"2015 
2nd quarter",6.06,4.56,0,3.95,1.82,8.93,25.32,78526
"2015 
3rd quarter",4.99,4.47,0,3.53,1.35,9.25,23.59,76324
"2015 
4th quarter",8.05,6.51,0,0.9,2.07,9.29,26.82,88476
"2016 
1st quarter",6.86,5.59,0,1.58,2.26,9.25,25.54,92166
"2016 
2nd quarter",5.07,4.17,0,4.96,1.2,9.88,25.28,77992
"2016 
3rd quarter",6.05,4.71,0,4.92,1.51,8.19,25.38,76021
"2016 
4th quarter",6.32,4.76,0,1.43,1.3,8.17,21.98,92986
"2017 
1st quarter",8.27,5.51,0,1.71,1.92,9.58,26.99,93650
"2017 
2nd quarter",8.04,5.19,0,5.95,1.12,10.17,30.47,76949
"2017 
3rd quarter",7.46,5.25,0,5.24,1.68,10.3,29.93,75445
"2017 
4th quarter",9.94,8.47,0,1.43,2.12,7.96,29.92,92153
"2018 
1st quarter",10.2,8.46,0,1.91,1.67,8.3,30.54,93716.4
"2018 
2nd quarter",7.05,6.13,0,6.36,1.24,11.24,32.02,77143.7
"2018 
3rd quarter",7.37,6.67,0,5.95,1.18,11.73,32.9,75269.2
"2018 
4th quarter",11.23,10.11,0,1.7,2.32,11.22,36.58,87587
"2019 
1st quarter",11.16,9.76,0,2.18,2.15,10.18,35.43,88130.4
"2019 
2nd quarter",7.94,7.79,0.01,6.06,1.09,11.95,34.84,76249.3
"2019 
3rd quarter",9.08,9.61,0.01,6,1.88,12.15,38.73,74804.3
"2019 
4th quarter",10.44,11.66,0,1.58,2.05,11.77,37.5,87907.4
"2020 
1st quarter",14.76,15.26,0,2.16,2.82,11.86,46.86,87580.3
"2020 
2nd quarter",9.03,10.82,0,7.68,1.5,14.76,43.79,67377.1
"2020 
3rd quarter",9,10.81,0,5.51,1.6,12.4,39.32,74142.9
"2020 
4th quarter",10.53,14.05,0,1.58,2.57,11.69,40.42,85561.3
"2021 
1st quarter",11.83,13.3,0,2.05,2.1,12.28,41.56,84212.3
"2021 
2nd quarter",7.26,8.49,0,6.62,1.37,13.43,37.17,72921.2
"2021 
3rd quarter",5.86,8.99,0,5.97,0.83,13.54,35.19,68116.4
"2021 
4th quarter",11.84,14.34,0,1.74,2.48,12.77,43.17,83661.6
"2022 
1st quarter",14.04,15,0,2.37,2.31,11.95,45.67,84197.2
"2022 
2nd quarter",9.49,11.29,0,6.26,1.26,10.38,38.68,78654.5
"2022 
3rd quarter",7.33,9.96,0,6.02,0.99,11.96,36.26,77615.2
"2022 
4th quarter",12.11,18.62,0,1.99,2.28,9.8,44.8,84790
"2023 
1st quarter",13.02,19.27,0,2.32,2.12,11.35,48.08,78015.6
